method,theta_track_rmse,pred_rmse_sim,pred_crps_sim,pred_rmse_full,pred_crps_full,avg_delay,n_gt_cp,n_det_cp,n_false_alarms
R-BOCPD-PF-usediscrepancy,0.11182110374946141,1.3815091402569455,1.1864663111488378,0.771218833998258,0.47032550726102795,0.0,2,2,0
R-BOCPD-PF-nodiscrepancy,0.11200792073170678,1.3780434930939203,1.1947444592200247,0.7746058031882456,0.4719368483913797,0.0,2,11,9
R-BOCPD-PF-halfdiscrepancy,0.10139120734703629,1.3779765640950696,1.195124604477213,0.549038184978149,0.3439989462005077,0.5,2,2,0
