method,slope,batch_size,seed,n_steps,none_ratio,delta_only_ratio,full_ratio,n_none,n_delta_only,n_full
R-BOCPD-PF-halfdiscrepancy,0.001,10,456,60,0.9,0.0,0.1,54,0,6
R-BOCPD-PF-halfdiscrepancy-hybrid,0.001,10,456,60,0.9,0.08333333333333333,0.016666666666666666,54,5,1
