batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,5.000000,5.106618,12.000000,4.999678
1,5.000000,3.626672,7.881343,2.807542
2,5.000000,3.569039,7.040426,2.834751
3,5.000000,3.509620,6.774332,2.860278
4,5.000000,3.702547,6.421941,3.228903
5,5.000000,3.795215,6.102218,3.997157
6,5.000000,4.485497,6.062340,5.985838
7,5.000000,3.920603,5.873854,3.420098
8,5.000000,3.898902,5.776962,3.697336
9,5.000000,3.784031,5.700917,2.836510
10,5.000000,3.824618,5.669986,2.865876
11,5.000000,4.080844,5.623339,5.499198
12,5.000000,4.265440,5.601736,5.945737
13,5.000000,4.504861,5.566279,5.845364
14,5.000000,4.794132,5.502178,8.825165
15,5.000000,4.435332,5.506939,5.696360
16,5.000000,4.592980,5.476033,5.779937
17,5.000000,4.662044,5.472919,6.107354
18,5.000000,4.558002,5.467590,4.615003
19,5.000000,4.373705,5.458226,2.710392
20,5.000000,4.693671,5.405776,5.411169
21,5.000000,4.623800,5.387065,4.532955
22,5.000000,4.779549,5.401100,6.118680
23,5.000000,4.711272,5.429923,4.636666
24,5.000000,4.407701,5.427998,3.149174
25,5.000000,4.497834,5.472230,4.580759
26,5.000000,4.543036,5.419516,4.677896
27,5.000000,4.604709,5.499473,5.229580
28,5.000000,4.473139,5.509099,3.705376
29,5.000000,4.394139,5.536557,7.647934
30,5.000000,4.711568,5.556856,5.496415
31,5.000000,4.621704,5.513714,4.484780
32,5.000000,4.617053,5.524827,5.210093
33,5.000000,4.728193,5.581390,4.997178
34,5.000000,4.735024,5.622831,4.874244
35,5.000000,4.727501,5.638109,4.608879
36,5.000000,4.735238,5.624843,4.720817
37,5.000000,4.528675,5.616802,4.052885
38,5.000000,4.514658,5.577836,4.148582
39,5.000000,4.571076,5.589557,5.308021
40,5.000000,4.412171,5.541908,3.598848
41,5.000000,4.579778,5.577021,6.289195
42,5.000000,4.456599,5.575921,4.507919
43,5.000000,4.655554,5.581870,5.877915
44,5.000000,4.675739,5.617000,5.299737
45,5.000000,4.668313,5.638024,4.961258
46,5.000000,4.598078,5.574459,4.149805
47,5.000000,4.555476,5.553553,4.350053
48,5.000000,4.526739,5.522923,3.423581
49,5.000000,4.524061,5.521174,4.381283
50,10.000000,4.463798,5.606269,9.821051
51,10.000000,5.097747,5.833609,10.919641
52,10.000000,5.457068,5.972127,10.420888
53,10.000000,5.804893,6.176142,9.781907
54,10.000000,6.034250,6.087613,10.455768
55,10.000000,6.297262,6.149508,10.302303
56,10.000000,6.559108,6.127049,9.088844
57,10.000000,6.846442,6.151810,10.049529
58,10.000000,7.194557,6.780113,10.031424
59,10.000000,7.535794,6.617534,9.965753
60,10.000000,7.915937,7.077579,10.304307
61,10.000000,7.939211,7.300530,9.561895
62,10.000000,8.209325,6.809901,9.269188
63,10.000000,8.533732,6.660561,9.734925
64,10.000000,8.837746,7.797148,10.708693
65,10.000000,8.922249,7.769226,10.243875
66,10.000000,9.077660,7.887823,10.844801
67,10.000000,9.450988,7.992797,10.020899
68,10.000000,9.753150,8.344932,9.918610
69,10.000000,9.385722,8.757713,9.042719
70,10.000000,9.686904,8.821029,10.548952
71,10.000000,10.005095,9.042424,10.317432
72,10.000000,9.954996,9.016502,9.933000
73,10.000000,10.282973,9.436604,10.724739
74,10.000000,10.311147,9.473751,10.299863
75,10.000000,9.953773,9.499553,9.717141
76,10.000000,9.682643,9.563021,9.407575
77,10.000000,9.830036,9.537460,9.887026
78,10.000000,9.956149,9.490387,9.959684
79,10.000000,9.980898,9.767503,11.522536
80,10.000000,10.032868,9.790736,10.188558
81,10.000000,9.786336,9.680431,9.052704
82,10.000000,9.842833,9.685498,10.199774
83,10.000000,10.095025,9.686521,10.276965
84,10.000000,9.968279,9.624072,9.903669
85,10.000000,9.926903,9.797114,9.907708
86,10.000000,10.024411,9.730756,10.085868
87,10.000000,9.973514,9.713488,9.841160
88,10.000000,9.601678,9.490023,9.310426
89,10.000000,9.646602,9.654157,9.920383
90,10.000000,9.662197,9.730780,9.742023
91,10.000000,9.745103,9.594858,10.348648
92,10.000000,9.980927,9.737276,10.101832
93,10.000000,9.976852,8.932559,9.965953
94,10.000000,10.006319,8.760384,10.875337
95,10.000000,10.001822,8.814231,10.005514
96,10.000000,9.999543,9.123717,9.948110
97,10.000000,10.041397,9.062863,10.114026
98,10.000000,9.839240,8.981081,9.193489
99,10.000000,9.475027,8.981573,7.803044
100,15.000000,9.845861,8.817404,14.846766
101,15.000000,10.014558,9.377680,14.723206
102,15.000000,10.335708,9.888559,15.285182
103,15.000000,10.624455,10.000772,14.980596
104,15.000000,10.892780,9.974737,14.459784
105,15.000000,11.309592,9.787131,14.616121
106,15.000000,11.613826,10.544016,14.703748
107,15.000000,11.972065,11.814356,14.922625
108,15.000000,12.006440,11.763751,14.752347
109,15.000000,12.241040,11.815634,14.459589
110,15.000000,12.607270,12.243203,14.940072
111,15.000000,12.781457,12.292007,14.658147
112,15.000000,13.199797,12.357671,14.533692
113,15.000000,13.337266,12.132849,14.587592
114,15.000000,13.480050,12.520059,14.613500
115,15.000000,13.700755,12.632456,14.703087
116,15.000000,13.891277,12.695979,14.796179
