mode,mode_name,method,theta_rmse,theta_crps,y_rmse,y_crps,n_theta,n_y
0,Gradual (mode 0),DA,9.5626136588981,7.285903991430563,307938.1905445234,219129.38380517616,300,1200
0,Gradual (mode 0),BC,3.93693829383507,3.170317986551368,215552.38919228007,141234.1705783081,300,1200
0,Gradual (mode 0),Ours,1.1640636276909968,0.7304515031412878,49037.60415689232,31761.1502111782,300,1200
1,Sudden Jump (mode 1),DA,4.259175214020241,2.8918164148483783,122467.6053105789,86979.55917583521,300,1200
1,Sudden Jump (mode 1),BC,6.023057273563596,4.4750317332785166,179936.25236836917,145518.78163675944,300,1200
1,Sudden Jump (mode 1),Ours,1.1101753734393998,0.7238600593983333,43634.02308770117,25359.320423465106,300,1200
2,Mixed (mode 2),DA,9.669472224833799,7.4017339982803,306527.8636508968,222072.36668620218,223,889
2,Mixed (mode 2),BC,4.502701971158834,3.4957754824110694,229358.68965035796,147053.32686008242,223,889
2,Mixed (mode 2),Ours,1.1915771329819849,0.7139098314083621,53009.45358400472,32892.93851301519,223,889
