batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.909496
1,12.366224,12.209949,14.506604,12.426088
2,12.895373,12.691353,14.648854,12.789843
3,13.419015,12.794129,14.795276,13.171197
4,13.935083,13.129941,16.380153,14.127958
5,14.441541,13.163623,16.477300,13.786022
6,14.936391,13.461753,16.521134,14.028170
7,15.417678,13.598908,16.635640,15.283596
8,15.883504,13.876002,16.617604,15.560057
9,16.332030,14.172722,16.694768,15.933449
10,16.761487,14.428065,16.742865,16.564142
11,17.170179,14.734308,16.756742,16.790571
12,17.556493,14.970251,16.762286,17.202702
13,17.918905,15.094841,16.959194,17.703418
14,18.255985,15.341046,16.977802,18.468085
15,18.566402,15.768360,16.996045,18.527660
16,18.848931,15.975943,17.024401,18.605829
17,19.102457,16.255571,17.093470,18.735404
18,19.325980,16.594050,17.152178,19.125017
19,19.518617,16.841130,17.218541,19.064252
20,19.679608,17.111938,17.232157,19.187253
21,19.808318,17.318398,17.267682,19.705986
22,19.904239,17.593523,17.280194,19.606023
23,19.966992,17.777996,17.318544,19.581114
24,19.996330,18.015051,17.358047,19.799273
25,19.992137,18.221064,17.419706,19.924795
26,19.954429,18.349396,17.356876,19.631140
27,19.883356,18.458576,17.427626,19.724687
28,19.779197,18.611817,17.422740,19.677390
29,19.642364,18.768481,17.429078,19.770123
30,19.473397,18.852404,17.476292,19.481913
31,19.272962,18.906957,17.489276,19.242419
32,19.041851,18.861484,17.482014,18.687074
33,18.780976,18.848710,17.348953,18.747951
34,18.491366,18.770059,17.350391,18.377537
35,18.174165,18.671037,17.339358,17.930730
36,17.830623,18.545727,17.332023,17.519390
37,17.462098,18.357123,17.321060,17.372455
38,17.070042,18.149268,17.270159,16.718136
39,16.656005,17.813562,17.173246,16.562053
40,16.221619,17.517999,17.061701,16.109563
41,15.768599,17.309320,16.886027,14.909208
42,15.298732,17.113979,17.163829,15.189517
43,14.813874,16.826367,17.284038,14.698980
44,14.315938,16.579120,17.250482,13.455298
45,13.806888,16.285793,17.327971,14.381208
46,13.288734,15.970580,17.313981,13.070139
47,12.763521,15.783296,17.285655,13.014361
48,12.233321,15.367304,17.291745,12.186407
49,11.700227,15.065960,17.269108,11.801388
50,11.166343,15.199572,17.510506,10.826306
51,10.633776,14.609605,17.347306,11.279780
52,10.104627,14.656674,17.216147,10.570541
53,9.580985,15.200729,17.381152,8.189080
54,9.064917,14.862061,17.324410,9.789084
55,8.558459,15.217724,17.330008,8.001117
56,8.063609,15.366130,17.460768,7.690074
57,7.582322,15.126722,17.250351,8.824275
58,7.116496,15.757054,17.205649,8.215915
59,6.667970,16.140968,17.202891,6.040270
60,6.238513,16.292555,17.059606,5.982117
61,5.829821,16.674500,14.496703,5.969192
62,5.443507,16.970236,11.062805,6.716159
63,5.081095,17.250633,8.981390,5.115952
64,4.744015,17.408491,7.591477,2.856052
65,4.433598,17.840674,7.868120,3.240112
66,4.151069,18.142397,7.706394,3.383073
67,3.897543,17.701000,7.554562,3.897175
68,3.674020,17.995813,7.347659,1.464461
69,3.481383,18.397851,7.144364,4.250563
70,3.320392,18.484102,7.206557,7.329099
71,3.191682,18.743346,6.900072,6.642229
72,3.095761,18.828634,6.160699,5.748171
73,3.033008,18.822904,6.001298,5.009283
74,3.003670,18.851844,5.745997,3.857487
75,3.007863,19.125135,5.637452,4.929354
76,3.045571,19.630542,5.612668,7.623540
77,3.116644,19.971702,5.544957,6.739502
78,3.220803,20.165043,5.538161,6.288828
79,3.357636,20.514316,5.575450,5.297507
80,3.526603,20.665306,5.554366,3.798390
81,3.727038,20.957476,5.566863,5.519749
82,3.958149,20.660544,5.540858,4.396397
83,4.219024,20.919082,5.562894,4.605820
84,4.508634,20.955454,5.581822,5.108404
85,4.825835,20.793006,5.573400,4.143759
86,5.169377,20.953954,5.569475,4.786682
87,5.537902,20.598385,5.571928,5.215573
88,5.929958,20.945645,5.437919,4.104814
89,6.343995,20.646848,5.504333,6.644771
90,6.778381,20.445851,5.520025,5.998203
91,7.231401,20.120430,5.461961,4.349861
92,7.701268,20.473008,5.475028,5.215751
93,8.186126,20.108546,5.526439,8.173739
94,8.684062,19.783593,5.525524,7.820851
95,9.193112,19.472847,5.537878,8.640921
96,9.711266,19.140036,5.479742,9.313578
97,10.236479,18.824262,5.233077,10.433118
98,10.766679,18.999975,5.236935,10.772549
99,11.299773,18.829433,5.547519,9.382909
100,11.833657,18.256913,5.613596,11.657880
101,12.366224,17.922499,5.525190,12.423376
102,12.895373,17.713634,5.822342,13.374799
103,13.419015,17.389528,5.811186,13.497429
104,13.935083,17.122977,5.758448,13.610057
105,14.441541,16.839293,6.241267,14.088609
106,14.936391,16.608136,6.316641,14.583378
107,15.417678,16.429907,8.023609,15.426645
108,15.883504,16.317544,11.521989,15.648158
109,16.332030,16.275333,11.386439,15.843446
110,16.761487,16.303477,11.698041,16.124515
111,17.170179,16.389083,12.595636,16.785058
112,17.556493,16.469548,12.465312,17.063260
113,17.918905,16.650915,11.987800,17.362162
114,18.255985,16.903046,12.483327,18.041316
115,18.566402,17.146421,12.966315,18.453778
116,18.848931,17.352577,13.228607,18.666990
117,19.102457,17.607572,14.415788,18.901481
118,19.325980,17.782962,16.454104,19.167430
119,19.518617,18.007714,17.046980,19.378346
120,19.679608,18.198162,17.052812,19.324110
121,19.808318,18.381394,17.028279,19.380313
122,19.904239,18.574891,17.100499,19.462548
123,19.966992,18.730524,17.193665,19.505189
124,19.996330,18.919955,17.194485,19.625788
125,19.992137,19.068369,17.287328,19.826497
126,19.954429,19.130920,17.363474,19.599440
127,19.883356,19.175477,17.390222,19.428303
128,19.779197,19.270914,17.432115,19.572644
129,19.642364,19.273913,17.498501,19.355379
130,19.473397,19.291613,17.462503,19.352880
131,19.272962,19.277212,17.471136,19.170499
132,19.041851,19.223493,17.498319,18.955960
133,18.780976,19.191829,17.505516,18.844654
134,18.491366,19.136447,17.497217,18.671819
135,18.174165,19.068227,17.512195,18.239359
136,17.830623,18.992306,17.522761,17.944974
137,17.462098,18.836795,17.552702,17.121179
138,17.070042,18.588133,17.539063,16.773655
139,16.656005,18.304002,17.511800,16.759135
140,16.221619,18.000615,17.439867,15.875292
141,15.768599,17.747972,17.469020,15.092360
142,15.298732,17.433768,17.433931,15.091047
143,14.813874,17.218031,17.369588,14.828390
144,14.315938,16.846766,17.273469,13.645950
145,13.806888,16.574416,17.294736,14.509326
146,13.288734,16.218233,17.212676,13.359551
147,12.763521,16.212689,17.228981,12.698955
148,12.233321,16.455868,17.242757,11.869764
149,11.700227,15.926466,17.117671,11.784297
150,11.166343,15.678045,17.120988,11.237081
151,10.633776,15.284658,17.140550,10.934986
152,10.104627,14.924249,16.963543,10.361692
153,9.580985,15.185936,16.768306,9.432746
154,9.064917,15.378983,15.240773,8.738785
155,8.558459,15.725945,11.167611,7.857484
156,8.063609,15.678184,9.211196,6.405655
157,7.582322,15.980208,9.983812,5.213374
158,7.116496,15.898716,8.079221,7.096528
159,6.667970,16.521939,6.724590,7.107939
160,6.238513,16.819906,6.412826,5.443735
161,5.829821,17.046546,5.791738,5.366255
162,5.443507,17.373999,5.449372,4.851164
