batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.864490
1,12.366224,12.209949,14.506604,12.469137
2,12.895373,12.691353,14.648854,12.800272
3,13.419015,12.794129,14.795276,13.238431
4,13.935083,13.129941,16.380153,14.168822
5,14.441541,13.163623,16.477300,13.795760
6,14.936391,13.461753,16.521134,14.038217
7,15.417678,13.598909,16.635640,15.216659
8,15.883504,13.876002,16.617604,15.504893
9,16.332030,14.172722,16.694768,15.906451
10,16.761487,14.428065,16.742865,16.528623
11,17.170179,14.734308,16.756742,16.794080
12,17.556493,14.970251,16.762286,17.150490
13,17.918905,15.094841,16.959194,17.786662
14,18.255985,15.340851,16.977802,18.467927
15,18.566402,15.768161,16.996045,18.513936
16,18.848931,15.975943,17.024401,18.544494
17,19.102457,16.255571,17.093469,18.831185
18,19.325980,16.594050,17.152178,18.977434
19,19.518617,16.841130,17.218541,19.026394
20,19.679608,17.111938,17.232157,19.247169
21,19.808318,17.318398,17.267682,19.708601
22,19.904239,17.593523,17.280194,19.692794
23,19.966992,17.777996,17.318544,19.585560
24,19.996330,18.015051,17.358047,19.765511
25,19.992137,18.221064,17.419706,19.906208
26,19.954429,18.349396,17.356876,19.639709
27,19.883356,18.458576,17.427626,19.733620
28,19.779197,18.611817,17.422740,19.704402
29,19.642364,18.768481,17.429078,19.765799
30,19.473397,18.852404,17.476292,19.484974
31,19.272962,18.906957,17.489276,19.224677
32,19.041851,18.861484,17.482014,18.640973
33,18.780976,18.848710,17.348953,18.774429
34,18.491366,18.770059,17.350391,18.436201
35,18.174165,18.671037,17.339358,18.026052
36,17.830623,18.545735,17.332023,17.579547
37,17.462098,18.357123,17.321060,17.298077
38,17.070042,18.149268,17.270159,16.743594
39,16.656005,17.813562,17.173246,16.542825
40,16.221619,17.517999,17.061701,16.117846
41,15.768599,17.309152,16.886027,14.882244
42,15.298732,17.113979,17.163829,15.173811
43,14.813874,16.826367,17.284038,14.737027
44,14.315938,16.579171,17.250482,13.580181
45,13.806888,16.285793,17.327972,14.387406
46,13.288734,15.970580,17.313981,13.076280
47,12.763521,15.783296,17.285655,13.028012
48,12.233321,15.367304,17.291745,12.215663
49,11.700227,15.065960,17.269108,11.820287
50,11.166343,15.199572,17.510506,10.833076
51,10.633776,14.609605,17.347306,11.282378
52,10.104627,14.656674,17.216147,10.624489
53,9.580985,15.200729,17.381153,8.303237
54,9.064917,14.862102,17.324410,9.803204
55,8.558459,15.215292,17.330008,7.984317
56,8.063609,15.366547,17.460768,7.794521
57,7.582322,15.157276,17.250351,8.724718
58,7.116496,15.777862,17.205649,8.239189
59,6.667970,16.163578,17.202892,5.828186
60,6.238513,16.313982,17.059606,5.988687
61,5.829821,16.697110,14.496703,5.965049
62,5.443507,16.992823,11.062805,6.740056
63,5.081095,17.273165,8.981390,5.091717
64,4.744015,17.430795,7.591477,2.743927
65,4.433598,17.861393,7.868120,3.015878
66,4.151069,18.163313,7.706394,3.390318
67,3.897543,17.767336,7.554562,3.825624
68,3.674020,18.087189,7.347659,1.590738
69,3.481383,18.548878,7.144364,5.103256
70,3.320392,18.621958,7.206557,7.343109
71,3.191682,18.893450,6.900072,6.699103
72,3.095761,18.973747,6.160699,5.826021
73,3.033008,18.958487,6.001297,4.968553
74,3.003670,18.979458,5.745997,3.974222
75,3.007863,19.103870,5.637452,4.828664
76,3.045571,19.492992,5.612668,7.731633
77,3.116644,19.774731,5.544957,6.667734
78,11.672368,19.777384,5.490716,10.520162
79,14.936391,19.510757,6.413947,13.023696
80,15.417678,19.243882,7.016218,14.964988
81,15.883504,18.921765,6.555215,15.089886
82,16.332030,18.674224,6.772785,16.003562
83,16.761487,18.490779,6.648936,16.645780
84,17.170179,18.276062,6.783801,16.965412
85,17.556493,18.083287,7.167540,17.250113
86,17.918905,17.990644,13.037386,17.512969
87,18.255985,18.004696,14.354584,18.069601
88,18.566402,18.098245,13.695498,18.500200
89,18.848931,18.180567,15.066055,18.780078
90,19.102457,18.256273,16.213185,18.763387
91,19.325980,18.383066,17.215577,19.030510
92,19.518617,18.505079,17.254383,19.214855
93,19.679608,18.657598,17.459865,19.365559
94,19.808318,18.922466,17.399332,19.573170
95,19.904239,19.109984,17.612240,19.808214
96,19.966992,19.182660,17.453277,19.718186
97,19.996330,19.272285,17.351986,19.837171
98,19.992137,19.393489,17.125687,20.004177
99,19.954429,19.468812,17.209385,19.926224
100,19.883356,19.490101,17.397918,19.796766
101,19.779197,19.461061,17.364254,19.381279
102,19.642364,19.446904,17.419935,19.317159
103,19.473397,19.450502,17.545845,19.430175
104,19.272962,19.406058,17.557935,19.131017
105,19.041851,19.361449,17.574313,18.931619
106,18.780976,19.322521,17.594442,18.924599
107,18.491366,19.270782,17.585677,18.591205
108,18.174165,19.171557,17.592096,18.256081
109,17.830623,18.999986,17.609484,17.730341
110,17.462098,18.715898,17.606235,17.091261
111,17.070042,18.470746,17.593705,16.970535
112,16.656005,18.161014,17.578269,16.504906
113,16.221619,17.898595,17.554331,16.107407
114,15.768599,17.479741,17.542266,15.672422
115,15.298732,17.183908,17.401889,14.952571
116,14.813874,16.934250,17.393573,14.412646
117,14.315938,16.662193,17.338404,14.274812
118,13.806888,16.319392,17.274321,13.938416
119,13.288734,15.956838,17.155150,13.397004
120,12.763521,15.624746,17.057224,12.715243
121,12.233321,15.445737,17.042616,12.447148
122,11.700227,15.638956,17.209341,11.390441
123,11.166343,14.923935,16.208511,11.480873
124,10.633776,14.713321,16.567435,10.601397
125,10.104627,15.088789,16.391561,9.698288
126,9.580985,15.449830,16.510649,8.579985
127,9.064917,15.070122,16.465381,11.201672
128,8.558459,15.190399,16.459329,8.546764
129,8.063609,15.680328,15.463638,6.598028
130,7.582322,15.502471,14.490695,9.430518
131,7.116496,16.128638,14.784297,6.873822
132,6.667970,16.470540,12.103648,6.337057
133,6.238513,16.394545,11.625283,5.954500
134,5.829821,16.752575,10.057126,5.573502
135,5.443507,17.063318,5.758348,3.803456
136,5.081095,17.472219,5.474973,4.042452
137,4.744015,17.406676,5.826778,4.317503
138,4.433598,17.813985,5.975267,4.765282
139,4.151069,18.165397,5.953403,5.131010
140,3.897543,18.502641,5.773747,5.003665
141,3.674020,18.786394,5.476232,4.405469
142,3.481383,19.097740,5.213702,5.490459
143,3.320392,19.249976,5.134258,5.709484
144,3.191682,19.763900,5.232698,5.121220
145,3.095761,19.888034,5.323492,5.137622
146,3.033008,19.719577,5.222431,4.562510
147,3.003670,20.283857,5.208926,3.880834
148,3.007863,20.543925,5.333399,4.135045
149,3.045571,20.359901,5.311826,3.347833
150,3.116644,20.803065,5.297388,5.389681
151,3.220803,20.631471,5.331825,4.624700
152,3.357636,20.954814,5.341155,5.906247
153,3.526603,20.998805,5.348492,6.799604
154,7.527797,20.999328,5.410899,8.880890
155,18.848931,20.999137,6.034884,8.528039
156,18.566402,20.998856,6.480285,18.689553
157,18.255985,20.998252,6.725264,18.289836
158,17.918905,20.997156,6.455658,17.680030
159,17.556493,20.992429,7.075280,17.198838
160,17.170179,20.964603,7.199025,16.957263
161,16.761487,20.827507,15.357898,16.694748
162,16.332030,20.532099,14.710978,16.442625
163,15.883504,20.248738,16.013657,15.967217
164,15.417678,19.914901,16.263833,14.990960
165,14.936391,19.524856,16.049914,14.408561
166,14.441541,19.247375,16.380650,14.358058
167,13.935083,18.815337,16.496362,14.109776
168,13.419015,18.512659,16.340807,13.378725
169,12.895373,18.162268,16.098257,13.033165
170,12.366224,17.882600,16.585932,12.459340
171,11.833657,18.149267,16.705678,11.426410
172,11.299773,17.493554,16.652417,11.501072
173,10.766679,17.236103,16.785883,10.732374
174,10.236479,17.662400,16.489005,9.482469
175,9.711266,18.007284,16.476344,9.314004
176,9.193112,18.263955,16.551309,11.135322
177,8.684062,17.990720,16.427202,8.531506
178,8.186126,18.222395,15.467258,8.189963
179,7.701268,17.723015,15.353050,7.801527
180,7.231401,18.055580,14.895611,6.632049
181,6.778381,18.244419,12.400242,5.995597
