batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,5.000000,5.106618,12.000000,5.073929
1,5.000000,3.626672,7.881343,2.856703
2,5.000000,3.569039,7.040426,2.873931
3,5.000000,3.509620,6.774332,2.891754
4,5.000000,3.702547,6.421941,6.132698
5,5.000000,3.795215,6.102218,5.065123
6,5.000000,4.485497,6.062340,6.048133
7,5.000000,3.920603,5.873854,3.545306
8,5.000000,3.898902,5.776962,3.720541
9,5.000000,3.784031,5.700917,2.993179
10,5.000000,3.824618,5.669986,2.192688
11,5.000000,4.080844,5.623339,5.163677
12,5.000000,4.265440,5.601736,5.949234
13,5.000000,4.505011,5.566279,5.974481
14,5.000000,4.794193,5.502178,8.817913
15,5.000000,4.435960,5.506939,3.211843
16,5.000000,4.598238,5.476033,5.362436
17,5.000000,4.748964,5.472919,6.311009
18,5.000000,4.623871,5.467590,4.597310
19,5.000000,4.414669,5.458226,2.842065
20,5.000000,4.783562,5.405776,5.506305
21,5.000000,4.677876,5.387065,4.537331
22,5.000000,4.870790,5.401100,6.265597
23,5.000000,4.775144,5.429923,4.578293
24,5.000000,4.398985,5.427998,3.344287
25,5.000000,4.504626,5.472230,4.662537
26,5.000000,4.558502,5.419516,4.704887
27,5.000000,4.633890,5.499473,5.208452
28,5.000000,4.487522,5.509099,3.883609
29,5.000000,4.434789,5.536557,7.726965
30,5.000000,4.777723,5.556856,5.563321
31,5.000000,4.638514,5.513714,4.583485
32,5.000000,4.638356,5.524827,5.401302
33,5.000000,4.755172,5.581390,5.041138
34,5.000000,4.759906,5.622831,4.969750
35,5.000000,4.749919,5.638109,4.635479
36,5.000000,4.761487,5.624843,4.450378
37,5.000000,4.541234,5.616802,4.042514
38,5.000000,4.524902,5.577836,4.233110
39,5.000000,4.606313,5.589557,5.315840
40,5.000000,4.366159,5.541908,3.608661
41,5.000000,4.538452,5.577021,6.017056
42,5.000000,4.441922,5.575921,4.467872
43,5.000000,4.605493,5.581870,5.791221
44,5.000000,4.623784,5.617000,5.282783
45,5.000000,4.624155,5.638024,4.843458
46,5.000000,4.568418,5.574459,3.746821
47,5.000000,4.535562,5.553553,4.305182
48,5.000000,4.514218,5.522923,3.274474
49,5.000000,4.512235,5.521174,4.366559
50,10.000000,4.458933,5.606269,7.407241
51,10.000000,5.153482,5.833609,10.996002
