batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
215,18.566402,18.041842,12.563971,18.509688
216,18.848931,18.127479,12.495924,18.789215
217,19.102457,18.212740,12.386137,18.818070
218,19.325980,18.349840,12.641712,19.046776
219,19.518617,18.495142,13.094303,19.185190
220,19.679608,18.636045,16.833314,19.358664
221,19.808318,18.799252,16.991372,19.513028
222,19.904239,18.935796,17.001659,19.791662
223,19.966992,19.016866,17.087071,19.689686
224,19.996330,19.106061,17.147127,19.813713
225,19.992137,19.207532,17.125687,19.996853
226,19.954429,19.295861,17.209385,19.931966
227,19.883356,19.331044,17.397918,19.753255
228,19.779197,19.325713,17.364254,19.348678
229,19.642364,19.325692,17.419935,19.279961
230,19.473397,19.339134,17.545845,19.358468
231,19.272962,19.308356,17.557935,19.034446
232,19.041851,19.274204,17.574313,19.005491
233,18.780976,19.244190,17.594442,18.834072
234,18.491366,19.202104,17.585677,18.737055
235,18.174165,19.116265,17.592096,18.017817
236,17.830623,19.024964,17.609484,17.687070
237,17.462098,18.711885,17.606235,16.997365
238,17.070042,18.350683,17.593705,16.928642
239,16.656005,18.104972,17.578269,16.530639
240,16.221619,17.820800,17.554331,16.095410
241,15.768599,17.488537,17.542266,15.725617
242,15.298732,17.199136,17.401889,14.955672
243,14.813874,16.896756,17.393573,14.460591
244,14.315938,16.623766,17.338404,14.318274
245,13.806888,16.323502,17.274321,13.759036
246,13.288734,15.979661,17.155150,13.421233
247,12.763521,15.643701,17.057224,12.781882
248,12.233321,15.439864,17.042616,12.412327
249,11.700227,15.601107,17.209341,11.394834
250,11.166343,14.895697,16.208511,11.470865
251,10.633776,14.684218,16.567435,10.645257
252,10.104627,15.104077,16.391561,9.647093
253,9.580985,15.413609,16.510649,8.592299
254,9.064917,15.100128,16.465381,11.113037
255,8.558459,15.214551,16.459329,8.612428
256,8.063609,15.745946,15.463638,6.580244
257,7.582322,15.602531,14.490695,9.258570
258,7.116496,16.186524,14.784297,6.888917
259,6.667970,16.590196,12.103648,6.388148
260,6.238513,16.500311,11.625283,6.064550
261,5.829821,16.904872,10.057126,5.627142
262,5.443507,17.191885,5.758348,3.806071
263,5.081095,17.445980,5.474973,4.102446
264,4.744015,17.375650,5.826778,4.311878
265,4.433598,17.728651,5.975267,4.755935
266,4.151069,17.992900,5.953403,5.140441
267,3.897543,18.297949,5.773747,5.032195
268,3.674020,18.513448,5.476232,4.398598
269,3.481383,18.819071,5.213702,5.530422
270,3.320392,18.985567,5.134258,5.600948
271,3.191682,19.494888,5.232698,4.392319
272,3.095761,19.647371,5.323492,4.962754
273,3.033008,19.481700,5.222431,4.643998
274,3.003670,19.967917,5.208926,3.920844
275,3.007863,20.194022,5.333399,4.388628
276,3.045571,20.046837,5.311826,3.175984
277,3.116644,20.461791,5.297388,5.301118
278,3.220803,20.313269,5.331825,4.476804
279,3.357636,20.785032,5.341155,5.869689
280,3.526603,20.955864,5.348492,6.801771
281,3.727038,20.982346,5.391043,6.003560
282,3.958149,20.998093,5.449096,6.090779
283,4.219024,20.998190,5.508543,5.187309
284,4.508634,20.997169,5.509615,3.787845
285,4.825835,20.998332,5.476034,4.112987
286,5.169377,20.997947,5.474305,5.054382
287,5.537902,20.995911,5.461017,6.188546
288,5.929958,20.996573,5.503304,5.478443
289,6.343995,20.999102,5.541090,4.626842
290,6.778381,20.999512,5.522621,6.783469
291,7.231401,20.999439,5.489571,7.132034
292,7.701268,20.999022,5.469914,5.782656
293,8.186126,20.997599,5.406280,7.606504
294,8.684062,20.988472,5.446287,9.621832
295,9.193112,20.685562,5.581173,8.872414
296,9.711266,20.439796,5.677097,9.340685
297,10.236479,20.346822,5.784819,10.640757
298,10.766679,20.023742,5.904601,11.516235
299,11.299773,19.763329,5.926383,10.819664
