method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-OGP,80,1.0,20,303,0.01222842546319302,0.5099925911086403,
PF-OGP,80,1.0,20,303,0.0871098726883693,0.9476911748027472,
R-BOCPD-PF-usediscrepancy,80,1.0,20,303,0.03741099397763226,1.6250861229347404,0.29946641498301124
R-BOCPD-PF-nodiscrepancy,80,1.0,20,303,0.017375862916301273,1.6186072146511448,0.7553200281398859
R-BOCPD-PF-halfdiscrepancy,80,1.0,20,303,0.016862923084053374,1.6194900751340993,0.7601057211084158
DA,80,1.0,20,404,0.03453213954589605,0.8250493039687474,0.500318817794323
BC,80,1.0,20,404,0.15465126211261168,0.8248048077027003,0.5023795078198116
BOCPD-PF,80,1.0,20,404,0.07685481967575013,1.6497282499584622,0.392727570695702
BPC-80,80,1.0,20,404,0.10348031339381739,1.6201581637064615,
BOCPD-BPC,80,1.0,20,404,0.1144063201186052,1.6230417331059774,
R-BOCPD-PF-OGP,80,1.0,20,404,0.008128845319555421,0.49977518933317516,
PF-OGP,80,1.0,20,404,0.1060045158510238,0.9745259301770836,
R-BOCPD-PF-usediscrepancy,80,1.0,20,404,0.060371140075576375,1.6430166277781422,0.32613746693345447
R-BOCPD-PF-nodiscrepancy,80,1.0,20,404,0.0114035966196101,1.6137873701730112,0.7415996283071153
R-BOCPD-PF-halfdiscrepancy,80,1.0,20,404,0.010096997419320741,1.6132096897725714,0.7416686593051317
DA,80,1.0,20,505,0.02854166516951508,0.814060581723849,0.4984031726916631
BC,80,1.0,20,505,0.1547442887868435,0.8163502116998037,0.5016771281758944
BOCPD-PF,80,1.0,20,505,0.08591499568597237,1.6597591670226963,0.434696707621203
BPC-80,80,1.0,20,505,0.10423159870598758,1.6254208485285442,
BOCPD-BPC,80,1.0,20,505,0.08759652529440418,1.62243603070577,
R-BOCPD-PF-OGP,80,1.0,20,505,0.014576923330804683,0.5147232191000085,
PF-OGP,80,1.0,20,505,0.10389293963635401,1.0007577652525954,
R-BOCPD-PF-usediscrepancy,80,1.0,20,505,0.050762513435487856,1.6438364161706978,0.30345452747080426
R-BOCPD-PF-nodiscrepancy,80,1.0,20,505,0.019120252425735753,1.6242034295959635,0.7575112970633265
R-BOCPD-PF-halfdiscrepancy,80,1.0,20,505,0.017717558579709733,1.6231767769791423,0.7560693141723266
DA,80,2.0,20,101,0.12975196817020032,1.4975185990333557,0.9599127436677615
BC,80,2.0,20,101,0.16024867258951175,1.5006013909975688,0.9614610875646273
BOCPD-PF,80,2.0,20,101,0.09066522608419939,1.7745327300018314,0.7074061939394424
BPC-80,80,2.0,20,101,0.17159682873058882,1.837792404492696,
BOCPD-BPC,80,2.0,20,101,0.029303774766577414,1.7254392464955648,
R-BOCPD-PF-OGP,80,2.0,20,101,0.00934155976800649,0.7595060669001584,
PF-OGP,80,2.0,20,101,0.819956887847942,1.9061339455062254,
R-BOCPD-PF-usediscrepancy,80,2.0,20,101,0.03979884238290766,1.745337934707237,0.47586080947365217
R-BOCPD-PF-nodiscrepancy,80,2.0,20,101,0.013323631110365717,1.751477154711607,0.4761605963525023
R-BOCPD-PF-halfdiscrepancy,80,2.0,20,101,0.0362071996196161,1.7576905567141439,1.0935938215945218
DA,80,2.0,20,202,0.12129439976456438,1.4618136584758759,0.9388071447610855
BC,80,2.0,20,202,0.19556479217822315,1.467043122649193,0.9398742854595185
BOCPD-PF,80,2.0,20,202,0.09708357887211368,1.7913618318640654,0.7008848054232423
BPC-80,80,2.0,20,202,0.17789437230217633,1.8291347901026407,
BOCPD-BPC,80,2.0,20,202,0.03661804911777671,1.7228540579477947,
R-BOCPD-PF-OGP,80,2.0,20,202,0.011123500761861187,0.7561749582253441,
PF-OGP,80,2.0,20,202,0.8631047105560881,1.8781553947543228,
R-BOCPD-PF-usediscrepancy,80,2.0,20,202,0.033741649741050386,1.760743235394979,0.4709055876492547
R-BOCPD-PF-nodiscrepancy,80,2.0,20,202,0.01427821584207973,1.74273853061107,0.648107235937071
R-BOCPD-PF-halfdiscrepancy,80,2.0,20,202,0.014022386564236052,1.7415765393905285,0.4706200724364637
DA,80,2.0,20,303,0.11731961280261886,1.4704944054285685,0.9543200691541036
BC,80,2.0,20,303,0.20960944329756975,1.475287522872289,0.9562992875774702
BOCPD-PF,80,2.0,20,303,0.09349062613490378,1.7855585996661227,0.6856010608495815
BPC-80,80,2.0,20,303,0.17250362766462293,1.8326625029246013,
BOCPD-BPC,80,2.0,20,303,0.027970296313380744,1.7199064016342163,
R-BOCPD-PF-OGP,80,2.0,20,303,0.00988880876222309,0.7670742039653226,
PF-OGP,80,2.0,20,303,0.8570845627547771,1.8677375802420306,
R-BOCPD-PF-usediscrepancy,80,2.0,20,303,0.04420414824887826,1.751506727402948,0.477393504867581
R-BOCPD-PF-nodiscrepancy,80,2.0,20,303,0.01232150910483183,1.7428570032925887,0.6497156995346625
R-BOCPD-PF-halfdiscrepancy,80,2.0,20,303,0.009793075320826206,1.7413912569314303,0.47740500399319036
DA,80,2.0,20,404,0.12066017176703003,1.4788820226987203,0.9622648298740387
BC,80,2.0,20,404,0.21548032205637524,1.4863702843586604,0.9656828915079435
BOCPD-PF,80,2.0,20,404,0.0807614748640285,1.8050514001581182,0.6995126130245714
BPC-80,80,2.0,20,404,0.17848944116728588,1.8534387509028116,
