batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,5.000000,5.106618,12.000000,5.072735
1,5.000000,3.626672,7.881343,2.836698
2,5.000000,3.569039,7.040426,2.859443
3,5.000000,3.509620,6.774332,2.884925
4,5.000000,3.702547,6.421941,6.154383
5,5.000000,3.795215,6.102218,5.086288
6,5.000000,4.485497,6.062340,6.100714
7,5.000000,3.920603,5.873854,3.344237
8,5.000000,3.898902,5.776962,3.669414
9,5.000000,3.784031,5.700917,2.907409
10,5.000000,3.824618,5.669986,1.619140
11,5.000000,4.080844,5.623339,1.462535
12,5.000000,4.265440,5.601736,5.916788
13,5.000000,4.505011,5.566279,5.938421
14,5.000000,4.794193,5.502178,9.835076
15,5.000000,4.435960,5.506939,6.584993
16,5.000000,4.598238,5.476033,5.959880
17,5.000000,4.748964,5.472919,6.389644
18,5.000000,4.623871,5.467590,4.648600
19,5.000000,4.414669,5.458226,2.887457
20,5.000000,4.783562,5.424182,5.544719
21,5.000000,4.677876,5.391518,4.583940
22,5.000000,4.870790,5.392803,6.170064
23,5.000000,4.775144,5.385296,4.675924
24,5.000000,4.398985,5.385170,3.171323
25,5.000000,4.504626,5.359370,4.627943
26,5.000000,4.558502,5.366805,4.580093
27,5.000000,4.633890,5.363583,5.273647
28,5.000000,4.487522,5.361396,3.781470
29,5.000000,4.434789,5.358370,7.562945
30,5.000000,4.777723,5.362300,5.575508
31,5.000000,4.638514,5.339861,4.616713
32,5.000000,4.638356,5.341075,5.281789
33,5.000000,4.755172,5.351997,5.091610
34,5.000000,4.759906,5.346242,4.863158
35,5.000000,4.749919,5.339702,4.707969
36,5.000000,4.761487,5.336518,4.483066
37,5.000000,4.541234,5.330310,4.219073
38,5.000000,4.524902,5.309673,4.187086
39,5.000000,4.606313,5.327037,5.520531
40,5.000000,4.366159,5.314992,3.503102
41,5.000000,4.538452,5.325088,6.443663
42,5.000000,4.441922,5.330754,4.467936
43,5.000000,4.605493,5.338304,5.917689
44,5.000000,4.623784,5.327261,5.279271
45,5.000000,4.624155,5.332004,4.937122
46,5.000000,4.568418,5.317109,3.931100
47,5.000000,4.535562,5.306534,4.410024
48,5.000000,4.514218,5.304533,3.266713
49,5.000000,4.512235,5.298123,4.409459
50,10.000000,4.458933,5.349772,9.882317
51,10.000000,5.153482,5.551918,10.972225
52,10.000000,5.510313,5.783827,10.439057
53,10.000000,5.828308,5.992228,9.834055
54,10.000000,6.173785,5.902275,10.460414
55,10.000000,6.412019,6.105001,10.302888
56,10.000000,6.647229,6.195904,9.090201
57,10.000000,6.875577,6.196891,10.066163
58,10.000000,7.276163,6.218829,9.982569
59,10.000000,7.584643,6.090602,9.987706
60,10.000000,7.941014,5.899688,10.307157
61,10.000000,7.965568,5.906375,9.595443
62,10.000000,8.297635,5.948838,9.277875
63,10.000000,8.606574,5.799371,9.710423
64,10.000000,8.920146,5.696199,10.713406
65,10.000000,9.013550,5.697514,10.306829
66,10.000000,9.352821,5.769785,10.893903
67,10.000000,9.663574,5.688058,9.997829
68,10.000000,9.823044,5.651962,9.897073
69,10.000000,9.418263,5.582267,9.067143
70,10.000000,9.726021,5.616358,10.548509
71,10.000000,10.040491,5.411184,10.353877
72,10.000000,9.967594,5.401678,9.912513
73,10.000000,10.315828,5.041210,10.778072
74,10.000000,10.345363,5.149800,10.393557
75,10.000000,9.971854,5.100595,9.729653
76,10.000000,9.698670,5.097783,9.430049
77,10.000000,9.837142,5.002607,9.894138
78,10.000000,9.961228,5.020421,10.016721
79,10.000000,9.983878,5.141837,11.575321
80,10.000000,10.034212,5.076661,10.195214
81,10.000000,9.784272,4.987088,9.098706
82,10.000000,9.841975,4.997057,10.121082
83,10.000000,10.113796,5.029409,10.342314
84,10.000000,9.970782,5.010231,9.895727
85,10.000000,9.928187,5.017161,9.949367
86,10.000000,10.022171,4.976469,10.055442
87,10.000000,9.970021,5.024006,9.859065
88,10.000000,9.666707,5.049838,9.334433
89,10.000000,9.702897,5.101654,9.883093
90,10.000000,9.701704,5.155675,9.739632
91,10.000000,9.786593,5.170877,10.371569
92,10.000000,9.995567,5.237726,10.072179
93,10.000000,9.983155,5.245223,9.979059
94,10.000000,10.012358,5.219695,10.800593
95,10.000000,10.005901,5.171889,9.986709
96,10.000000,10.003593,5.103141,9.927005
97,10.000000,10.043491,5.023182,10.170344
98,10.000000,9.835810,4.992781,9.209559
99,10.000000,9.487170,4.970154,7.830040
100,15.000000,9.855802,5.057463,14.850835
101,15.000000,10.025158,4.872708,14.773466
102,15.000000,10.387339,4.770048,15.257521
103,15.000000,10.676406,4.954161,14.928461
104,15.000000,10.943842,4.836693,14.442503
105,15.000000,11.361631,4.724226,14.644986
106,15.000000,11.649296,4.798044,14.707700
107,15.000000,12.021705,4.803501,14.929800
108,15.000000,12.059981,4.762147,14.807565
109,15.000000,12.286120,4.924377,14.405650
110,15.000000,12.659310,4.929870,14.954841
111,15.000000,12.827094,4.984279,14.713396
112,15.000000,13.251836,5.117803,14.468248
113,15.000000,13.383387,5.296600,14.525539
114,15.000000,13.528356,5.182567,14.598506
115,15.000000,13.748577,5.059096,14.738445
116,15.000000,13.952339,5.124197,14.807508
117,15.000000,14.182391,5.181794,14.896816
118,15.000000,14.309500,5.023364,14.837057
119,15.000000,14.381612,5.058621,14.690217
120,15.000000,14.420374,5.188782,14.681296
121,15.000000,14.487182,5.061721,14.673399
122,15.000000,14.524650,5.049538,14.714690
123,15.000000,14.515559,5.119066,14.460185
124,15.000000,14.572921,5.130245,14.815659
125,15.000000,14.543222,5.207761,14.430106
126,15.000000,14.537441,4.967718,14.414873
127,15.000000,14.529248,4.859300,14.516607
128,15.000000,14.587575,4.888444,14.943620
129,15.000000,14.670719,4.861777,14.886609
130,15.000000,14.690748,4.787066,14.946454
131,15.000000,14.695232,4.992729,14.735808
132,15.000000,14.638195,4.918199,14.415080
133,15.000000,14.697446,5.143634,14.995214
134,15.000000,14.701056,5.436668,14.791042
135,15.000000,14.690795,5.436009,14.609210
136,15.000000,14.709953,5.681143,15.098504
137,15.000000,14.697024,5.796958,14.588219
138,15.000000,14.690573,9.864828,14.577009
139,15.000000,14.714949,10.150815,14.848574
140,15.000000,14.716076,11.096466,14.739573
141,15.000000,14.693371,11.329532,14.303834
142,15.000000,14.701452,11.026865,14.791722
143,15.000000,14.703934,10.582715,14.847849
144,15.000000,14.687955,11.282716,14.575269
145,15.000000,14.715263,11.810777,14.933641
146,15.000000,14.709759,11.604078,14.560839
147,15.000000,14.704695,11.459546,14.507273
148,15.000000,14.715405,11.526855,14.846451
149,15.000000,14.707205,11.396688,14.539911
150,20.000000,14.843514,11.514616,17.332335
151,20.000000,15.144734,11.671124,19.340288
152,20.000000,15.450349,11.694208,19.644041
153,20.000000,15.718827,11.660302,19.645398
154,20.000000,15.993522,11.701342,19.700329
155,20.000000,16.344619,11.846144,19.735348
156,20.000000,16.676739,11.727203,19.700608
157,20.000000,16.977526,11.770801,19.864174
158,20.000000,17.296570,11.822712,19.820004
159,20.000000,17.660268,12.037915,19.873248
160,20.000000,17.874710,12.088517,20.014684
161,20.000000,18.036522,12.177761,19.631107
162,20.000000,18.266121,12.628549,19.915736
163,20.000000,18.449217,12.514113,19.800735
164,20.000000,18.654473,14.589416,19.733424
165,20.000000,18.824275,13.360683,19.714279
166,20.000000,18.963536,12.991725,19.574331
167,20.000000,19.080539,12.990726,19.645257
168,20.000000,19.161813,12.914552,19.687992
169,20.000000,19.215704,13.118238,19.637373
170,20.000000,19.261821,13.007108,19.819672
171,20.000000,19.316724,15.016600,19.721125
172,20.000000,19.339685,14.540010,19.536928
173,20.000000,19.343427,14.223667,19.399712
174,20.000000,19.371611,14.730363,19.527356
175,20.000000,19.404314,14.772548,19.784438
176,20.000000,19.430984,14.556020,19.755570
177,20.000000,19.480722,13.780230,19.778048
178,20.000000,19.474289,13.323849,19.626874
179,20.000000,19.470197,14.670711,19.448647
180,20.000000,19.484838,14.955082,19.550851
181,20.000000,19.529562,17.349559,19.887383
182,20.000000,19.538881,17.382531,19.765888
183,20.000000,19.570972,17.289965,19.790205
184,20.000000,19.619764,17.331338,20.024450
185,20.000000,19.650332,17.361088,19.935023
186,20.000000,19.636021,17.257576,19.610443
187,20.000000,19.616382,17.252597,19.417333
188,20.000000,19.632300,17.232678,19.634496
189,20.000000,19.641199,17.191943,19.737311
190,20.000000,19.648764,17.175803,19.786148
191,20.000000,19.639985,17.106632,19.542459
192,20.000000,19.647943,16.990780,19.628564
193,20.000000,19.647023,17.135973,19.614695
194,20.000000,19.645235,17.027199,19.608435
195,20.000000,19.653309,17.031796,19.777619
196,20.000000,19.653698,17.090743,19.742828
197,20.000000,19.661978,17.207404,19.771455
198,20.000000,19.684517,17.191270,19.822962
199,20.000000,19.686214,17.422110,19.736340
200,25.000000,19.967570,17.431953,21.677185
201,25.000000,20.286250,17.415630,23.664332
202,25.000000,20.592762,17.402274,23.841470
203,25.000000,20.833930,17.394030,24.214320
204,25.000000,20.938090,17.388889,23.982778
205,25.000000,20.981512,17.465224,24.223459
206,25.000000,20.992726,17.565507,23.967180
207,25.000000,20.996179,17.667365,24.222373
208,25.000000,20.956441,17.659466,24.294428
209,25.000000,20.987928,17.660625,24.322545
210,25.000000,20.995332,17.630228,24.321838
211,25.000000,20.997333,17.638354,24.443432
212,25.000000,20.998429,17.631202,24.311860
213,25.000000,20.998888,17.598748,24.002573
214,25.000000,20.999199,17.611419,24.085118
215,25.000000,20.999397,17.632000,24.239345
216,25.000000,20.999520,17.656757,24.363532
217,25.000000,20.999602,17.714989,24.207152
218,25.000000,20.999662,17.675000,24.254586
219,25.000000,20.999717,17.672312,24.199671
220,25.000000,20.999752,17.713512,24.288194
221,25.000000,20.999790,17.654174,24.380712
222,25.000000,20.999814,17.694449,24.473576
223,25.000000,20.999836,17.705778,24.027637
224,25.000000,20.999852,17.778759,24.270735
225,25.000000,20.999869,17.763891,24.447406
226,25.000000,20.999884,17.770392,24.392113
227,25.000000,20.999894,17.850556,24.320819
228,25.000000,20.960875,17.859432,24.199832
229,25.000000,20.986889,17.840490,24.035097
230,25.000000,20.994026,17.760143,24.317530
231,25.000000,20.996750,17.777127,24.165000
232,25.000000,20.998003,17.816313,24.252376
233,25.000000,20.998750,17.784808,24.329552
234,25.000000,20.999147,17.788861,24.309212
235,25.000000,20.999370,17.717056,24.239335
236,25.000000,20.999505,17.675278,24.302169
237,25.000000,20.999605,17.617988,24.275468
238,25.000000,20.999685,17.662999,24.272883
239,25.000000,20.999741,17.679396,24.228174
240,25.000000,20.999787,17.708808,24.364782
241,25.000000,20.999814,17.679505,24.435066
242,25.000000,20.999839,17.689422,24.219804
243,25.000000,20.999860,17.707202,24.293182
244,25.000000,20.999876,17.809139,24.393215
