batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
169,12.895373,18.162268,15.851299,12.965446
170,12.366224,17.882600,15.935291,12.517340
171,11.833657,18.149267,16.745709,11.406069
172,11.299773,17.493554,16.484641,11.471975
173,10.766679,17.236103,16.707104,10.703026
174,10.236479,17.662400,16.711930,9.531987
175,9.711266,18.007284,16.752823,9.216341
176,9.193112,18.263955,16.481483,11.220269
177,8.684062,17.990720,16.204363,8.596775
178,8.186126,18.222395,16.383614,8.225653
179,7.701268,17.723015,16.519899,7.822727
180,7.231401,18.055580,16.595466,6.709717
181,6.778381,18.244419,16.564277,6.003318
182,6.343995,18.651859,16.516682,5.785237
183,5.929958,18.893531,16.653608,5.703608
184,5.537902,19.334850,16.547876,3.768346
185,5.169377,19.633880,16.400381,4.930137
186,4.825835,19.635717,16.388829,4.006359
187,4.508634,19.803013,15.837462,6.232939
188,4.219024,20.145658,15.735564,5.717966
189,3.958149,20.437226,15.800333,3.985334
190,3.727038,20.753853,15.004914,2.582098
191,3.526603,20.944260,14.130296,4.675726
192,3.357636,20.581512,14.526603,1.582508
193,3.220803,20.937196,13.693146,1.473149
194,3.116644,20.973351,13.838548,1.533188
195,3.045571,20.852018,14.402245,4.389932
196,3.007863,20.951062,13.569303,3.891420
197,3.003670,20.998101,11.437157,4.098557
198,3.033008,20.997518,11.194334,3.233283
199,3.095761,20.997467,11.418267,4.287807
200,3.191682,20.998736,7.705807,5.982960
201,3.320392,20.961064,7.510442,7.380467
202,3.481383,20.998588,6.909498,6.552616
203,3.674020,20.999487,5.859062,6.051639
204,3.897543,20.999589,5.513226,6.538289
205,4.151069,20.999723,5.374143,5.886161
206,4.433598,20.999467,5.201237,3.970569
207,4.744015,20.999528,5.270714,4.184266
208,5.081095,20.999678,5.092739,5.268625
209,5.443507,20.999546,5.118389,5.872511
210,5.829821,20.999644,4.955344,5.161688
211,6.238513,20.999732,4.965163,5.743396
212,6.667970,20.999745,5.082620,5.079308
213,7.116496,20.999853,4.869505,7.020134
214,7.582322,20.999732,4.884209,8.601263
215,8.063609,20.999550,4.701153,7.030244
216,8.558459,20.999062,4.771895,8.243053
217,9.064917,20.998638,4.937357,8.750156
218,9.580985,20.996554,4.908391,9.411508
219,10.104627,20.992562,4.899445,10.733641
220,10.633776,20.798122,4.958536,11.549012
221,11.166343,20.541413,4.964662,10.929371
222,11.500000,20.380322,4.904021,11.056246
