batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.824578
1,12.366224,12.209949,14.506604,12.497502
2,12.895373,12.691353,14.648854,12.760363
3,13.419015,12.794129,14.795276,13.228586
4,13.935083,13.129941,16.380153,14.134360
5,14.441541,13.163623,16.477300,13.792098
6,14.936391,13.461753,16.521134,14.038745
7,15.417678,13.598909,16.635640,15.234924
8,15.883504,13.876002,16.617604,15.490977
9,16.332030,14.172722,16.694768,15.868199
10,16.761487,14.428065,16.742865,16.540897
11,17.170179,14.734308,16.756742,16.817404
12,17.556493,14.970251,16.762286,17.203658
13,17.918905,15.094841,16.959194,17.848348
14,18.255985,15.340851,16.977802,18.425256
15,18.566402,15.768161,16.996045,18.508370
16,18.848931,15.975943,17.024401,18.552936
17,19.102457,16.255571,17.093469,18.824282
18,19.325980,16.594050,17.152178,19.005315
19,19.518617,16.841130,17.218541,19.058317
20,19.679608,17.111938,17.186877,19.232196
21,19.808318,17.318398,17.210171,19.726298
22,19.904239,17.593523,17.168468,19.663146
23,19.966992,17.777996,17.199799,19.576877
24,19.996330,18.015051,17.218397,19.756030
25,19.992137,18.221064,17.299023,19.910123
26,19.954429,18.349396,17.302913,19.642100
27,19.883356,18.458576,17.308234,19.733525
28,19.779197,18.611817,17.293393,19.696559
29,19.642364,18.768481,17.308277,19.758582
30,19.473397,18.852404,17.287706,19.434381
31,19.272962,18.906957,17.295868,19.201219
32,19.041851,18.861484,17.300461,18.892771
33,18.780976,18.848710,17.303350,18.785698
34,18.491366,18.770059,17.290453,18.450893
35,18.174165,18.671037,17.288483,18.004361
36,17.830623,18.545735,17.292874,17.546016
37,17.462098,18.357123,17.294664,17.329483
38,17.070042,18.149268,17.293826,16.791504
39,16.656005,17.813562,17.277494,16.605311
40,16.221619,17.517999,17.245768,16.162576
41,15.768599,17.309152,17.257470,14.973517
42,15.298732,17.113979,17.283222,15.197512
43,14.813874,16.826367,17.322313,14.714570
44,14.315938,16.579171,17.323491,13.560520
45,13.806888,16.285793,17.378862,14.380877
46,13.288734,15.970580,17.410311,13.012917
47,12.763521,15.783296,17.374636,13.046308
48,12.233321,15.367304,17.372988,12.247170
49,11.700227,15.065960,17.400218,11.828327
50,11.166343,15.199572,17.488316,10.846458
51,10.633776,14.609605,17.452041,11.292069
52,10.104627,14.656674,17.404955,10.600643
53,9.580985,15.200729,17.488834,8.213963
54,9.064917,14.862102,17.457880,9.862963
55,8.558459,15.215292,17.629215,8.014232
56,8.063609,15.366547,17.645933,7.757363
57,7.582322,15.157276,17.566227,8.701489
58,7.116496,15.777862,17.651804,8.256976
59,6.667970,16.163578,17.883445,5.635585
60,6.238513,16.313982,17.924530,5.942197
61,5.829821,16.697110,17.824403,5.923675
