method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-usediscrepancy,120,2.0,20,456,0.032509629957232396,1.7051293979920592,0.350583343350318
R-BOCPD-PF-nodiscrepancy,120,2.0,20,456,0.024274848455943222,1.7072720590735115,0.5809665726764878
R-BOCPD-PF-halfdiscrepancy,120,2.0,20,456,0.015551665705492096,1.7058647430645326,0.35017306226645767
