experiment,method,seed,cp_time,delay,restarts
E4,R-BOCPD-PF-nodiscrepancy,456,200,20,3
E4,R-BOCPD-PF-nodiscrepancy,456,400,20,3
E4,R-BOCPD-PF-nodiscrepancy,456,600,20,3
E4,R-BOCPD-PF-shared-discrepancy,456,200,40,9
E4,R-BOCPD-PF-shared-discrepancy,456,400,0,9
E4,R-BOCPD-PF-shared-discrepancy,456,600,0,9
