mode,mode_name,method,theta_rmse,theta_crps,y_rmse,y_crps,n_steps
0,Gradual (mode 0),Ours-hybrid-rolled,0.8787535778510916,0.6193405673388684,51253.20216195761,33910.272597309435,300
1,Sudden Jump (mode 1),Ours-hybrid-rolled,0.8511547749962546,0.6255677962527222,42649.92106334792,25197.23200236747,300
2,Mixed (mode 2),Ours-hybrid-rolled,0.8325336656742996,0.5621274950594762,65194.17225031701,36179.44700913375,223
