method,seg_len_L,delta_mag,batch_size,seed,n_steps,none_ratio,delta_only_ratio,full_ratio,n_none,n_delta_only,n_full
R-BOCPD-PF-usediscrepancy,120,1.0,20,101,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,1.0,20,101,24,1.0,0.0,0.0,24,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,101,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
BOCPD-PF,120,1.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-usediscrepancy,120,1.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,1.0,20,202,24,1.0,0.0,0.0,24,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,202,24,1.0,0.0,0.0,24,0,0
BOCPD-PF,120,1.0,20,303,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
R-BOCPD-PF-usediscrepancy,120,1.0,20,303,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,1.0,20,303,24,1.0,0.0,0.0,24,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,1.0,20,303,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
BOCPD-PF,120,2.0,20,101,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
R-BOCPD-PF-usediscrepancy,120,2.0,20,101,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,2.0,20,101,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,101,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
BOCPD-PF,120,2.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-usediscrepancy,120,2.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,2.0,20,202,24,1.0,0.0,0.0,24,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,202,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
BOCPD-PF,120,2.0,20,303,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
R-BOCPD-PF-usediscrepancy,120,2.0,20,303,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,2.0,20,303,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,2.0,20,303,24,0.875,0.0,0.125,21,0,3
BOCPD-PF,120,3.0,20,101,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
R-BOCPD-PF-usediscrepancy,120,3.0,20,101,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,3.0,20,101,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,101,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
BOCPD-PF,120,3.0,20,202,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
R-BOCPD-PF-usediscrepancy,120,3.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,3.0,20,202,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,202,24,0.875,0.0,0.125,21,0,3
BOCPD-PF,120,3.0,20,303,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-usediscrepancy,120,3.0,20,303,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-nodiscrepancy,120,3.0,20,303,24,0.875,0.0,0.125,21,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,120,3.0,20,303,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
BOCPD-PF,200,0.5,20,101,40,0.875,0.0,0.125,35,0,5
R-BOCPD-PF-usediscrepancy,200,0.5,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,0.5,20,101,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,101,40,1.0,0.0,0.0,40,0,0
BOCPD-PF,200,0.5,20,202,40,0.9,0.0,0.1,36,0,4
R-BOCPD-PF-usediscrepancy,200,0.5,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,0.5,20,202,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,202,40,1.0,0.0,0.0,40,0,0
BOCPD-PF,200,0.5,20,303,40,0.9,0.0,0.1,36,0,4
R-BOCPD-PF-usediscrepancy,200,0.5,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,0.5,20,303,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,0.5,20,303,40,1.0,0.0,0.0,40,0,0
BOCPD-PF,200,1.0,20,101,40,0.875,0.0,0.125,35,0,5
R-BOCPD-PF-usediscrepancy,200,1.0,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,1.0,20,101,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,101,40,0.975,0.0,0.025,39,0,1
BOCPD-PF,200,1.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-usediscrepancy,200,1.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,1.0,20,202,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,202,40,0.975,0.0,0.025,39,0,1
BOCPD-PF,200,1.0,20,303,40,0.875,0.0,0.125,35,0,5
R-BOCPD-PF-usediscrepancy,200,1.0,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,1.0,20,303,40,1.0,0.0,0.0,40,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,1.0,20,303,40,1.0,0.0,0.0,40,0,0
BOCPD-PF,200,2.0,20,101,40,0.9,0.0,0.1,36,0,4
R-BOCPD-PF-usediscrepancy,200,2.0,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,2.0,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,101,40,0.95,0.0,0.05,38,0,2
BOCPD-PF,200,2.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-usediscrepancy,200,2.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,2.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,202,40,0.925,0.0,0.075,37,0,3
BOCPD-PF,200,2.0,20,303,40,0.9,0.0,0.1,36,0,4
R-BOCPD-PF-usediscrepancy,200,2.0,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,2.0,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,2.0,20,303,40,0.975,0.0,0.025,39,0,1
BOCPD-PF,200,3.0,20,101,40,0.9,0.0,0.1,36,0,4
R-BOCPD-PF-usediscrepancy,200,3.0,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,3.0,20,101,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,101,40,0.925,0.0,0.075,37,0,3
BOCPD-PF,200,3.0,20,202,40,0.85,0.0,0.15,34,0,6
R-BOCPD-PF-usediscrepancy,200,3.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,3.0,20,202,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,202,40,0.925,0.0,0.075,37,0,3
BOCPD-PF,200,3.0,20,303,40,0.875,0.0,0.125,35,0,5
R-BOCPD-PF-usediscrepancy,200,3.0,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-nodiscrepancy,200,3.0,20,303,40,0.925,0.0,0.075,37,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,200,3.0,20,303,40,0.95,0.0,0.05,38,0,2
