t,Va_N,Va_E,Va_D,y_VN,y_VE,y_VD,thetaN_true,thetaE_true,thetaD_true
0.0025,11.455492478095772,81.51006433172392,1.1256549511167694e-09,11.864463377151703,80.68626232041022,3.107223206431319,0.408970899055931,-0.8238020113137023,3.107223205305664
0.1025,11.455492468496185,81.51006426381402,-4.1802494755423476e-07,12.207632734875391,81.1622939581903,3.1635524353082523,0.7521402663792063,-0.3477703056237062,3.1635528533332
0.2025000000000001,11.455492440677416,81.51006406627101,-1.5847826986856767e-06,12.494082587309288,80.64998134776852,3.307564688461617,1.038590146631872,-0.8600827185024935,3.307566273244316
0.3025000000000002,11.455492390490344,81.51006370957253,-3.6130118721462303e-06,12.355184550452853,80.87774308244428,2.9790598643983954,0.899692159962509,-0.6323206271282471,2.979063477410268
0.4025000000000003,11.455492316860239,81.51006318607143,-6.4696653879142585e-06,11.80762580944968,80.71222112191472,3.268165319592037,0.35213349258944066,-0.7978420641567112,3.268171789257425
0.5025000000000003,11.455492220041087,81.51006249757526,-1.0067869948289276e-05,11.781257870446433,80.78678550865723,3.1543356813721184,0.3257656504053457,-0.7232769889180234,3.154345749242067
0.6024999999999981,11.455492099525237,81.510061640472,-1.436395586740886e-05,12.246396880397945,80.9139350607674,3.308710700972519,0.7909047808727088,-0.5961265797046071,3.3087250649283866
0.702499999999996,11.455491954413253,81.51006060836227,-1.9336751318359685e-05,11.887994477054717,80.81065220179792,3.4372865564834907,0.4325025226414646,-0.6994084065643402,3.437305893234809
0.8024999999999939,11.455491782498381,81.51005938554422,-2.5027039021974602e-05,12.532172231531575,80.47181540945648,3.6562653575991066,1.0766804490331947,-1.0382439760877455,3.6562903846381287
0.9024999999999918,11.455491582946065,81.51005796607942,-3.14063536579841e-05,12.487905315547723,81.08392706983304,3.281418534961543,1.0324137326016578,-0.42613089624638123,3.281449941315201
1.0024999999999895,11.455491357727112,81.51005636399198,-3.83360411115009e-05,11.98996561883315,81.28693825259656,3.790152411110288,0.5344742611060381,-0.22311811139542187,3.7901907471513994
1.1024999999999876,11.455491105089516,81.51005456681546,-4.585285281992625e-05,12.62463267151632,81.24406137977925,3.309281522561277,1.169141566426804,-0.26599318703619845,3.309327375414097
1.2024999999999857,11.45549082638805,81.5100525841902,-5.3850502409019025e-05,11.721646342170366,80.84819202779767,3.399001882236902,0.266155515782315,-0.6618605563925344,3.3990557327393107
1.3024999999999831,11.455490520807336,81.51005041031446,-6.233489569019239e-05,11.697633187149437,80.96806271191255,3.331010025767389,0.24214266634210013,-0.541987698401907,3.331072360663079
1.4024999999999812,11.455490187319693,81.51004803787583,-7.131801264967704e-05,12.29295410997552,80.49428833139217,3.00353116259205,0.837463922655827,-1.015759706483666,3.0036024806047
1.502499999999979,11.455489823103774,81.51004544679988,-8.088973853178249e-05,11.953210354427775,80.49858055801151,3.7238427256169184,0.49772053132400007,-1.0114648887883686,3.7239236153554502
1.602499999999977,11.455489427941725,81.51004263553693,-9.101890210078952e-05,11.935367314876046,80.94820920791848,3.1244504696721322,0.4798778869343209,-0.5618334276184488,3.124541488574233
1.7024999999999748,11.455489002815478,81.51003961107392,-0.00010162626552819361,12.559181971923081,81.24562359074196,3.3920174127983564,1.1036929691076032,-0.2644160203319577,3.3921190390638847
1.802499999999973,11.455488546303789,81.51003636329702,-0.00011274634091641591,11.42308668757676,80.86512073911848,3.407106363108454,-0.03240185872702872,-0.6449156241785435,3.4072191094493705
1.9024999999999703,11.455488055852598,81.51003287403702,-0.0001244563858321242,12.385327634072215,80.66413644416824,3.748592204829075,0.9298395782196174,-0.8458964298687897,3.748716661214907
2.0024999999999684,11.455487529982763,81.51002913276511,-0.00013678380418447546,11.688009344445742,80.65104640976404,3.482491464846432,0.23252181446297843,-0.8589827230010751,3.4826282486506166
2.1024999999999663,11.455486967044374,81.51002512774247,-0.00014975957412547688,12.098854456658934,81.45021858637953,3.2585192503960245,0.6433674896145599,-0.05980654136293295,3.25866900997015
2.202499999999964,11.455486366667849,81.5100208563401,-0.00016335305732123468,11.894179245077147,80.73622748831376,2.87460606387333,0.43869287840929844,-0.7737933680263519,2.8747694169306515
2.302499999999962,11.455485729984803,81.51001632661057,-0.00017747692051123156,11.700832785535788,81.03861545738452,3.3762855190197407,0.24534705555098407,-0.47140086922603985,3.376462995940252
